variable	CDS	X10k	Contig	value	V2
SRR1755650	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2250
SRR1755650	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	67.8147586329972	2250
SRR1755650	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2250
SRR1755650	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	158.396451919477	2250
SRR1755650	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	53.727257817316	2250
SRR1755650	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	107.668667620177	2250
SRR1755651	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	192.762874766891	2280
SRR1755651	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2280
SRR1755651	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2280
SRR1755651	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	714.825875040709	2280
SRR1755651	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2280
SRR1755651	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	265.335847437533	2280
SRR1755652	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2310
SRR1755652	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	64.9617099791468	2310
SRR1755652	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2310
SRR1755652	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	57.4383509111581	2310
SRR1755652	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	8123.00551203946	2310
SRR1755652	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2310
SRR1755653	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	304.720518289855	2340
SRR1755653	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2340
SRR1755653	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	169.599073638163	2340
SRR1755653	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	287.378343168059	2340
SRR1755653	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	15.1251734143146	2340
SRR1755653	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	9.85073813898696	2340
SRR1755656	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	2430
SRR1755656	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2430
SRR1755656	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	219.344579043883	2430
SRR1755656	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2430
SRR1755656	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	907.82989184983	2430
SRR1755656	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	13.2197068057883	2430
SRR1755659	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2520
SRR1755659	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2520
SRR1755659	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	72.4521868840232	2520
SRR1755659	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	11.1959002648848	2520
SRR1755659	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2520
SRR1755659	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	2520
SRR1755662	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	40.3131322547891	2610
SRR1755662	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	39.5885057601276	2610
SRR1755662	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2610
SRR1755662	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2610
SRR1755662	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	13.5315039433925	2610
SRR1755662	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2610
SRR1755663	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2640
SRR1755663	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2640
SRR1755663	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	14.9063647382489	2640
SRR1755663	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	88.6512146646267	2640
SRR1755663	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	102.019070764962	2640
SRR1755663	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	36.8814972904393	2640
SRR1755664	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	27.7041906590088	2670
SRR1755664	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	2.94891592935577	2670
SRR1755664	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	4833.76562131573	2670
SRR1755664	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	177.313297642801	2670
SRR1755664	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2670
SRR1755664	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2670
SRR1755665	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	172.233336424701	2700
SRR1755665	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	6.19239779963465	2700
SRR1755665	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2700
SRR1755665	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2700
SRR1755665	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2700
SRR1755665	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	18.6192224852938	2700
SRR1755666	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	5.87819998378854	2730
SRR1755666	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	2730
SRR1755666	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2730
SRR1755666	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	14.8851293305094	2730
SRR1755666	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2730
SRR1755666	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2730
SRR1755667	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2760
SRR1755667	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2760
SRR1755667	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	140.154169586545	2760
SRR1755667	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	83.126959111927	2760
SRR1755667	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	2760
SRR1755667	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	2760
SRR1755668	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2790
SRR1755668	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	2790
SRR1755668	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	4.25834982556735	2790
SRR1755668	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	211.567155869318	2790
SRR1755668	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	0	2790
SRR1755668	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2790
SRR1755669	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2820
SRR1755669	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	2820
SRR1755669	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2820
SRR1755669	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	17.4801531261414	2820
SRR1755669	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2820
